file,dataset,ver,mode,method,seed,idx,run_tag,aug_ratio,aug_bound,degree_thr,restricted,alpha,gamma,E0,total_added_edges,final_global_used_adds,add_ratio_of_E0,epochs_with_add
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed8_idx8_a0.75_g0.90_rstr_ts103341_16222_24253.log,LastFMAsia,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed8_idx8_a0.80_g1.00_rstr_ts102354_16222_4495.log,LastFMAsia,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed8_idx8_a0.90_g0.95_rstr_ts104323_16222_5682.log,LastFMAsia,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed9_idx9_a0.75_g0.90_rstr_ts110258_16222_25703.log,LastFMAsia,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed9_idx9_a0.80_g1.00_rstr_ts105309_16222_10254.log,LastFMAsia,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed9_idx9_a0.90_g0.95_rstr_ts111243_16222_1999.log,LastFMAsia,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.75_g0.90_rstr_ts144513_16222_26507.log,LastFMAsia,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.80_g1.00_rstr_ts143518_16222_19795.log,LastFMAsia,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed0_idx0_a0.90_g0.95_rstr_ts145505_16222_13199.log,LastFMAsia,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.75_g0.90_rstr_ts151451_16222_27379.log,LastFMAsia,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.80_g1.00_rstr_ts150456_16222_12420.log,LastFMAsia,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_intra_r10.00_fmr0.50_d0.80_gmm_seed1_idx1_a0.90_g0.95_rstr_ts152449_16222_28119.log,LastFMAsia,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
